name,price,colors,plain_text_description,brand,height,color,material,base_type,weight,url
Blakk Smoke Printed Acrylic Car Hookah with LED Light - Best for Tours,"Rs. 1,950.00",N/A,"
 What are its key features? 
Totally printed
Fully acrylic body
LED light with remote
Portable and compact hookah
Best to use in cars for tours & trips
Silicone bowl
Heat management device
Silicone hose
Dense smoke producer

Color: Matt Black, Printed edition
 Why to grab this piece? 

Unique: As compared to other car hookahs available in the market it looks more stylish and elegant.

Portable: You can easily use it, wash it and carry it. Perfect model for picnics, tours and traveling purposes.

LED Light: Multicolor LED light with remote makes it more premium. Change the color and enjoy dense smoke in the car/dark.

Silicone Bowl: For the comfort of user, a silicone bowl is available in the kit. 

HMD: Most handy component of this printed car hookah is its free heat management device. Now there is very little chance of any ash in the car.

Silicone Hose: For easy smoke flow, a food-grade quality silicone pipe with a sleek handle is available with it.

Price: Perfect hookah in this price range. Go grab your piece now.
 
 ",,,,,,,https://shopdop.in/products/blakk-smoke-printed-acrylic-car-hookah-with-led-light-best-for-tours
Mini Nano Smoke Car Hookah - Acrylic Base,"Rs. 1,999.00",N/A,"
 

Material:Acrylic
Easy to carry & use
Easy to handle
Best for tours & trips
Good acrylic material
Produce dense smoke
LED Light with remote
Colour: Black, Green, Red, Blue
Size: 22cm x 15.5cm x 6cm (8.5’’ x 6"" x 2.5’’)Approx.

Chillum/Bowl:Silicone

Pipe Size: 1.6 Metre, Silicone Pipe

Components:Acrylic Base, Metal Tong, Silicone Chillum/Bowl, HMD, 16 LED Lighting System, Virgin Silicone Hose/Pipe
Order will be processed as per color availability
 Mini Nano Smoke Car Hookah is a very popular portable acrylic base hookah. As its name includes a car, it can be carried along while going for any trip via car. It is having a rectangular shape base and the material used in making is acrylic only. It comes with HMD fitted silicone chillum which helps in producing good smoke with safety as HMD is also having a cap that prevents coal from falling here and there. 

Components: Rectangular acrylic base, 16 LED Lighting System, metal basic tong, silicone chillum/bowl, HMD and virgin silicone hose/pipe.

Pipe Length: The pipe's length is around 1.6 meters.

Colors: It is available in colors like Black, Green, Red, Blue, etc.

Best for tour & trips: Furthermore, this hookah is very stylish in looks and can be used in car trips also.

LED: Its LED function and transparent body also provide the feel of disco effect during the hookah session.
 
 ",,,,,,,https://shopdop.in/products/mini-nano-smoke-car-hookah-acrylic-base
Transparent Acrylic Base Nano Smoke Car Hookah,"Rs. 2,449.00",N/A,"
 What are its key points? 

Material: Acrylic
Assembled Easily
Transparent body
Best for tours & trips
Produce dense smoke
Multicolor LED Light with remote

Chillum/Bowl: Silicone

Pipe Size: 1.6 Metre, Silicone Pipe

Components: Acrylic Base, Metal Tong, Silicone Chillum/Bowl, HMD, 16 LED Lighting System, Virgin Silicone Hose/Pipe
Order will be processed as per color availability
 Why to buy it? 

Body: Rectangular shape transparent car hookah's body is fully made up of acrylic material.

LED Light: Yes, with this premium hookah you will get a multicolor LED light which operates with a remote.

Bowl: A high-quality food grade quality silicone bowl/chillum comes with it.

HMD: An aluminum made heat management device comes with this car hookah.

Hose: Premium silicone hose with decent length comes with this transparent car hookah.

Smoke: The smoke generating capability of this portable shisha is impressive.

Price: Best hookah under Rs 2500.
 
 ",,,,,,,https://shopdop.in/products/transparent-acrylic-base-nanosmoke-car-hookah
Acrylic Globe (Golu) Hookah with LED Lights,"Rs. 1,999.00","['Purple', 'Green', 'Red']","
 


Easy to wash and clean
Easy to handle
Battery operated LED light
Metal stem
Stainless steel stem
Smoke release pressure nob
No residue smell after wash
Premium quality Acrylic base
Get huge and dense smoke session
Order will be processed as per color availability

Components: Acrylic base, Stainless steel down stem, Coal Tray, High-grade metal stem, Premium quality white color PVC pipe, Tong


 
  
  
 
Unique designed Globe Acrylic hookah with LED light is one of the best-selling hookahs in the market which has many qualities to make your hookah session exotic and make you feel out of this world.


Base: The base of this hookah is made with high-quality acrylic material in the globe which gives an attractive and unique look.

Stem: You can get a heavy metal stem and stainless steel down stem with Globe Acrylic hookah. The stem of this hookah allows a good flow of smoke.

PVC Pipe: You can get high-grade PVC pipe with this hookah which allows a smooth flow of flavorful dense smoke. You can easily wash or clean this pipe.

Chillum: Alshan Globe Acrylic hookah comes with German clay chillum which allows good heat flow between flavor and charcoal. This chillum is also known for long-lasting flavor burning time.

LED Lights: This hookah is also compatible and comes with LED lights which provide an exotic atmosphere during your smoking session. This LED light is battery operated.

Dimensions:Hookah height: 12 inchesPipe Length: 62inches

 
 ",,,,,,,https://shopdop.in/products/acrylic-globe-golu-hookah-with-led-lights
Portable Mini Platoon Hookah - X Function Technology,"Rs. 2,999.00","['Golden', 'Black', 'Silver']","
 What are its key highlight? 
Compact size small model
Fully metallic body
Small glass base covered with metal
X Function Technology
Lock system for easy assembling
Silicone hose with metal handle
Easy to carry outside
Produce dense smoke
Ceramic traditional bowl
Economic price range
 Why to get it? 

Design: The design of Platoon hookah is a little bit different from other models.

Body: It is a fully metallic body hookah. Its base is of glass which is also covered with a metallic body.

X Function Technology: There is no pressure valve in this model because it is built with X Function technology. Its back smoke exhales from the stem.

Lock System: For easy assembling a lock system is available in it which enables you to attach the bottom with top easily.

Hose: For better and smooth smoke flow a good quality silicone hose comes with it.

Price: Decent portable hookah under Rs 3000/-
 
 ",,,,,,,https://shopdop.in/products/portable-mini-platoon-hookah-x-function-technology
Balcen Russian Tao Hookah - X Function Technology,"Rs. 3,499.00","['Green', 'Golden', 'Red']","
 What are its features? 
 
Height: 24 inches
Midsize shisha
Designer metallic upper portion
Updated X-Function technology
Back smoke exhales from stem
Wide and strong glass base
Silicone hose with handle (spring included)
Bowl included

Required grommets/rubbers
Economic price range
 
  
 ",,,,,,,https://shopdop.in/products/balcen-russian-tao-hookah-x-function-technology
Acrylic Hoob Cube Hookah,"Rs. 7,850.00",N/A,,ALS,9-10 inches,Transparent,"Acrylic, Silicone, Stainless",,,https://shopdop.in/products/hoob-cube-hookah
Kogan Hookah - Stainless Steel Shisha,"Rs. 3,500.00",N/A,"
 What are its main features? 
Latest design model
Transparent glass base
Stainless steel body
Premium and elegant design
Lock system
Ceramic bowl
1 Unique silicone hose with long handle
Stainless steel down stem
 Why to grab this piece? 

Design: The design and look of Kogan hookah are totally different and advanced.

Base: An elegant wide and heavy transparent base is available in this model. 

Body: The entire body of Kogan hookah is made up of stainless steel material. Good quality stainless steel upper stem, charcoal plate and down stem.

Hose: Premium white color silicone hose with greyish metal handle comes with Kogan.

Bowl: Fancy ceramic bowl comes with this impressive model.

Lock System: Handy lock system is available for easy attachment between base and stem.
 
 ",,,,,,,https://shopdop.in/products/kogan-hookah-stainless-steel-shisha
Alpha X Russian Tao Hookah – TX Function,"Rs. 4,500.00","['Black', 'Blue', 'Dark Blue/Green', 'Rainbow', 'Red']","
 
Made in Russia
Easy to wash and clean
Easy to assemble & dissemble
No residue smell after wash
TX Functional Stem
Produce a smooth and dense smoke flow
Heavy metal stem
Premium stainless steel down stem with a diffuser

Components: Glass base, Germany made clay chillum, Coal Tray, Premium quality silicone pipe with a metal handle, Down stem with a diffuser, high-grade metal stem, Tong
 
 Alpha Russian Tao Hookah is one of the revolutionary designer hookahs which has TX Function metal stem. This hookah is known for huge dense smoke and provides you an exotic atmosphere during shisha sessions.  
 

Quality: Alpha TX Function Russian Tao Hookah components are made with high-quality stainless steel and metal. It is a premium quality hookah that can be used in the long term.

TX Function: The stem of this Russian Tao has a unique design that also acts as a pressure nob. The unwanted gases in the base also released from specially designed holes on a stem which also creates an aromatic atmosphere during your shisha session.

Down Stem: Alpha Russian Tao Hookah – TX Function has a stainless down stem that has a diffuser which allows smooth and dense smoke flow during your smoking session.

Silicone Pipe: You can get long metal handle silicone pipe with this hookah which provides you dense flavorful smoke. You can easily wash or clean this high-grade silicone pipe.

Chillum: You can get German clay chillum which allows good heat flow between flavor and charcoal. This chillum didn’t allow the flavor to fall in your shisha base.

Dimensions: Hookah height: 22 inches Pipe Length: 1.65m
 
 ",,,,,,,https://shopdop.in/products/alpha-russian-tao-hookah-tx-function
Venoz Russian Tao Hookah - X Function Feature,"Rs. 3,250.00",N/A,"
 Venoz Tao Package Includes 
Height: 26 inches
Heavy Glass Charocal Plate
Silicon Long Handle Pipe 
Good quality aluminum stem
Heavy glass base
Phunnel Bowl
Diffuser In-built
Tong
 
 ",,,,,,,https://shopdop.in/products/venoz-russian-tao-hookah-x-function-feature
Cube Micro Hookah,"Rs. 5,500.00","['Silver', 'Champaigne', 'Rose Gold', 'Blue', 'Black']","
 Features? 
 
Strong acrylic base
Long Handle Silicone Pipe
Diffuser In-built
Bag makes it more portable
German Clay Bowl
Decent tong
Offers a good amount of smoke
Back smoke from corners of base
 
 ",,,,,,,https://shopdop.in/products/cube-micro-hookah
Fybro Hookah - X Function Technology,"Rs. 3,949.00",N/A,"
 What are its key highlights? 
Medium size model
Strong and wide glass base
Elegant plain metal stem
X Function System
Designer phunnel and HMD (FREE)
Silicone pipe with a handle
Stylish look
Back smoke exhales from small holes below the charcoal plate
 Why to buy this model? 

Elegant: The look and design of Fybro hookah are very elegant.

Base: The base of Fybro hookah is very strong and wide. Good glass is used to make this model.

X Function: Fybro hookah is designed with the latest X function technology. Entire back smoke exhales from the stem (below of charcoal plate).

Bowl: With this hookah, you will get a premium single hole phunnel which is totally free of cost.

HMD: An aluminum made heat management device also comes in the box which is also free.

Pipe: A high quality silicone hose with an easy grip metal handle comes with Fybro hookah.
 
 ",,,,,,,https://shopdop.in/products/fybro-hookah-x-function-technology
Da Vinci Hookah - X Function Technology,"Rs. 4,249.00",N/A,"
 What are its main features? 
Medium designer shisha
Fancy and long metallic upper stem
Advanced X-Function technique
Back smoke exhales from full stem
Heavy glass base
Down stem with pre-built diffuser
Silicone hose with handle (spring included)
Classic phunnel and HMD (FREE)
Required grommets/rubbers
 Why to get this model? 

Elegant: The design, height and look of Da Vinci hookah are very elegant. 

Base: This premium model comes with a strong and wide glass base which carries a good amount of water and smoke.

X Function: Latest X Function technology is used to design Da Vinci hookah. Entire back smoke exhales from its metallic upper stem.

Diffuser: The down stem of Da Vinci hookah comes with a pre-built diffuser. Invest in this hookah and enjoy more dense smoke.

Bowl: You will get the latest phunnel with Da Vinci hookah. It can allow a good amount of heat.

HMD: An aluminum made heat management device comes in the box totally free of cost. 

Hose: Premium silicone hose comes with this modern hookah. Spring also included for proper handling.
 
 ",,,,,,,https://shopdop.in/products/da-vinci-hookah-x-function-technology
Hookah Oyster Fork for Flavour Mixing,Rs. 149.00,"['Golden', 'Rose Gold']","
 
Very handy accessory
Used for setting flavor in a bowl
Portable/lightweight miscellaneous product
Metallic made
Easy to use during the session for flavor setting
Low price range
 
 Video:- 
 












View this post on Instagram























A post shared by Hookah Order Online @ shopdop® (@shopdop.in)

 
  
   
 ",,,,,,,https://shopdop.in/products/hookah-oyster-fork-for-flavour-mixing
Mini Fruit Blaster Hookah - X Function Technology,"Rs. 6,250.00",N/A,"
 What are its main features? 
 
Height : 25+ inches
Innovative design
X Function Technology
Empty acrylic upper stem (for fruit insertion)
Decent height
Transparent glass base
Downstem
Premium model
Back smoke exhales from a button/switch
 
 Why to buy it? 
 

Design: The main and important thing to notice about Fruit Blaster hookah is its latest design. There is an empty acrylic top stem in it which is mostly used to fill with different types of fruits as you can see in the image.

X Function: With the latest X Function technology. No pressure valve (back smoke exhales from the small switch/button).

Base: Good quality transparent glass base (easy to fit with the upper stem).

Bowl: We provide a FREE silicone bowl with Mini Fruit Blaster hookah.

HMD: An aluminum heat management device is also included in the box.

Pipe: For smooth and dense smoke flow a slim metal handle silicone hose is given with it.
 
 ",,,,,,,https://shopdop.in/products/fruit-blaster-hookah-x-function-technology
ShopDop Hookah Mouth Tip / Nozzle (Lanyard),Rs. 350.00,N/A,"
 
Shopdop's Exclusive Mouth Tip with Lanyard
Premium and must have hookah accessory
Easy to use, clean and carry
Hygenic product
Reusable item
Silicone pipe fitting back tip with front mouth tip
Compatible with all hookah hoses
Portable and durable accessory
Long neckband
Lightweight product
Available in multiple colors
Order will be processed as per color availability
 
Shopdop exclusively launched its official hookah mouth tip (nozzle) with a long comfortable lanyard. One of the most demanding shisha accessories in recent times.


Quality: This fancy hookah nozzle is made up of high-quality rexin material (front) and silicone material (back). 

Compatible: Shopdop's official mouth tip is compatible with all types of small, medium and long handle hoses/pipes. There is no issue with fitting in it.

Reusable: It is a reusable shisha accessory which can easily be used by anyone. You can simply wash it properly and use it again and again.

Lanyard: You will get a long and comfortable lanyard with this mouth tip. So you never drop or lose or nozzle.

Colors: Presently this shisha nozzle is available in multiple colors. Order will be processed as per color availability. 

Note: If you want to get a specific color then confirm the color on the confirmation call.

 
 ",,,,,,,https://shopdop.in/products/shopdop-hookah-mouth-tip-nozzle-lanyard
Mouth Tip with RGB LED Light,Rs. 349.00,N/A,"
 
Easy to use, clean and carry
Premium hookah accessory
Hygenic product
Silicone tip with designer mouth tip
On/off button for LED light
Multicolor light effects
Unique shisha item
Plastic neckband
Long-lasting and Durable
Portable product
 Hookah Mouth Tip/Nozzle with Multicolor LED Light is a premium accessory that is very useful during these pandemic times. 

Quality: It is a high-quality metallic mouth tip with a silicone coating. The neckband of this nozzle is made up of plastic. One of the key features of this designer mouth tip is its LED light option.

Multicolor LED: The LED light fitted in this mouth tip is a multicolor light. A on and off button is given there which helps you to change the color of light.

Portable: It is a lightweight portable hookah accessory which is easy to carry, use and clean. Now you can enjoy shisha session anywhere with the help of this nozzle.
 
 ",,,,,,,https://shopdop.in/products/hookah-mouth-tip-nozzle-with-multicolor-led-light
